experiment_id,experiment_name,member_id,variant,algorithm_version,assigned_at,rollout_channel
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0001,treatment,recovery_v2,2026-04-20,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0003,control,recovery_v1,2026-04-23,internal_holdout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0004,control,recovery_v1,2026-04-19,internal_holdout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0006,treatment,recovery_v2,2026-04-24,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0007,control,recovery_v1,2026-04-23,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0008,treatment,recovery_v2,2026-04-18,internal_holdout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0009,treatment,recovery_v2,2026-04-22,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0010,control,recovery_v1,2026-04-19,internal_holdout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0012,treatment,recovery_v2,2026-04-19,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0013,treatment,recovery_v2,2026-04-19,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0014,treatment,recovery_v2,2026-04-22,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0015,control,recovery_v1,2026-04-19,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0016,treatment,recovery_v2,2026-04-22,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0017,treatment,recovery_v2,2026-04-21,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0019,treatment,recovery_v2,2026-04-23,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0020,treatment,recovery_v2,2026-04-24,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0021,treatment,recovery_v2,2026-04-17,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0022,control,recovery_v1,2026-04-24,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0023,control,recovery_v1,2026-04-17,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0024,control,recovery_v1,2026-04-21,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0025,treatment,recovery_v2,2026-04-19,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0026,treatment,recovery_v2,2026-04-22,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0027,treatment,recovery_v2,2026-04-22,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0028,control,recovery_v1,2026-04-23,internal_holdout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0029,treatment,recovery_v2,2026-04-20,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0030,treatment,recovery_v2,2026-04-24,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0031,control,recovery_v1,2026-04-19,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0032,treatment,recovery_v2,2026-04-18,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0034,treatment,recovery_v2,2026-04-20,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0035,treatment,recovery_v2,2026-04-21,internal_holdout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0036,control,recovery_v1,2026-04-22,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0037,treatment,recovery_v2,2026-04-23,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0038,treatment,recovery_v2,2026-04-18,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0039,treatment,recovery_v2,2026-04-19,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0041,treatment,recovery_v2,2026-04-24,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0042,treatment,recovery_v2,2026-04-20,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0043,control,recovery_v1,2026-04-18,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0044,treatment,recovery_v2,2026-04-24,internal_holdout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0046,control,recovery_v1,2026-04-20,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0047,treatment,recovery_v2,2026-04-24,gradual_rollout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0048,control,recovery_v1,2026-04-24,internal_holdout
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0049,control,recovery_v1,2026-04-24,feature_flag
recovery_algorithm_release_q2,Recovery Algorithm Release Q2,m_0050,treatment,recovery_v2,2026-04-21,feature_flag
